公司名称,行业,2023营收_亿元,2023净利润_亿元,员工人数_万人,成立年份,总部城市
华为技术,通信设备,7042,870,20.7,1987,深圳
阿里巴巴,互联网,9412,728,24.5,1999,杭州
腾讯控股,互联网,6090,1152,10.5,1998,深圳
字节跳动,互联网,8635,2015,15.0,2012,北京
京东集团,电子商务,10847,242,62.0,1998,北京
美团,本地生活,2767,1388,12.0,2010,北京
比亚迪,新能源汽车,6023,300,70.0,1995,深圳
宁德时代,新能源,4009,441,11.6,2011,宁德
中国平安,金融保险,10319,856,34.0,1988,深圳
贵州茅台,白酒,1506,747,3.3,1999,仁怀
工商银行,银行,8431,3640,42.0,1984,北京
中国移动,电信,10093,1318,45.0,1997,北京
小米集团,消费电子,2710,193,3.5,2010,北京
百度集团,互联网,1346,203,3.9,2000,北京
网易,互联网,1035,294,3.2,1997,杭州
