退款ID,订单ID,退款金额_元,退款日期,退款原因
REF001,ORD0185,843.71,2023-08-06,商品与描述不符
REF002,ORD0259,1917.17,2024-02-25,质量问题
REF003,ORD0016,1136.23,2023-09-19,尺寸不合适
REF004,ORD0091,1773.03,2024-05-14,不想要了
REF005,ORD0084,2254.41,2023-10-06,尺寸不合适
REF006,ORD0146,1178.1,2023-02-12,物流损坏
REF007,ORD0293,2575.62,2023-08-22,尺寸不合适
REF008,ORD0106,1965.21,2023-10-17,尺寸不合适
REF009,ORD0005,2737.2,2024-05-14,尺寸不合适
REF010,ORD0115,1836.78,2023-09-30,发错货
REF011,ORD0141,2689.58,2024-03-23,发错货
REF012,ORD0236,678.08,2023-09-30,不想要了
REF013,ORD0267,1209.54,2024-10-14,质量问题
REF014,ORD0262,2900.46,2024-11-23,商品与描述不符
REF015,ORD0288,1793.5,2024-11-07,不想要了
REF016,ORD0056,219.6,2024-05-22,
REF017,ORD0167,805.61,2023-10-25,商品与描述不符
REF018,ORD0153,475.29,2023-07-26,商品与描述不符
REF019,ORD0030,1230.17,2024-09-20,不想要了
REF020,ORD0072,1976.54,2023-02-10,
REF021,ORD0133,1231.66,2024-03-18,商品与描述不符
REF022,ORD0299,2453.56,2024-08-22,不想要了
REF023,ORD0114,1617.87,2024-12-17,商品与描述不符
REF024,ORD0184,921.58,2024-06-17,物流损坏
REF025,ORD0286,902.54,2023-07-19,不想要了
